x,y,longitude,latitude,area
8361,4935,759908.399,3352944.56,21.0
9380,4934,760417.899,3352945.06,15.0
8391,4933,759923.399,3352945.56,14.5
8803,4933,760129.399,3352945.56,21.5
8383,4933,759919.399,3352945.56,11.0
8531,4931,759993.399,3352946.56,21.5
8214,4931,759834.899,3352946.56,23.0
8419,4927,759937.399,3352948.56,19.0
9042,4925,760248.899,3352949.56,31.5
9968,4918,760711.899,3352953.06,20.5
8433,4916,759944.399,3352954.06,11.5
9957,4915,760706.399,3352954.56,53.5
9358,4911,760406.899,3352956.56,10.5
8533,4911,759994.399,3352956.56,31.0
8370,4912,759912.899,3352956.06,41.0
9242,4909,760348.899,3352957.56,15.5
9343,4899,760399.399,3352962.56,12.0
8563,4898,760009.399,3352963.06,20.5
8553,4896,760004.399,3352964.06,21.0
8402,4894,759928.899,3352965.06,16.0
9114,4893,760284.899,3352965.56,15.0
9348,4891,760401.899,3352966.56,14.0
8614,4892,760034.899,3352966.06,17.5
8578,4893,760016.899,3352965.56,16.0
8603,4890,760029.399,3352967.06,10.5
9082,4891,760268.899,3352966.56,27.5
8641,4886,760048.399,3352969.06,27.5
9290,4885,760372.899,3352969.56,15.0
8377,4885,759916.399,3352969.56,19.0
9741,4881,760598.399,3352971.56,17.5
9194,4879,760324.899,3352972.56,14.5
8367,4876,759911.399,3352974.06,10.5
8362,4873,759908.899,3352975.56,11.0
8311,4872,759883.399,3352976.06,16.0
8526,4872,759990.899,3352976.06,13.5
8736,4871,760095.899,3352976.56,16.5
9404,4869,760429.899,3352977.56,14.0
9211,4868,760333.399,3352978.06,11.5
8597,4867,760026.399,3352978.56,19.0
8350,4867,759902.899,3352978.56,16.0
9790,4861,760622.899,3352981.56,18.5
8516,4860,759985.899,3352982.06,21.5
8454,4858,759954.899,3352983.06,22.5
9314,4856,760384.899,3352984.06,15.0
9725,4853,760590.399,3352985.56,10.5
9205,4853,760330.399,3352985.56,17.0
8513,4853,759984.399,3352985.56,19.0
8525,4851,759990.399,3352986.56,16.0
8471,4847,759963.399,3352988.56,16.0
10101,4844,760778.399,3352990.06,15.5
9230,4842,760342.899,3352991.06,14.5
8458,4842,759956.899,3352991.06,20.0
9835,4843,760645.399,3352990.56,34.5
8472,4836,759963.899,3352994.06,11.5
9096,4836,760275.899,3352994.06,19.0
8446,4832,759950.899,3352996.06,17.5
9843,4832,760649.399,3352996.06,14.0
9863,4825,760659.399,3352999.56,16.0
8510,4823,759982.899,3353000.56,13.0
9795,4822,760625.399,3353001.06,22.0
8903,4822,760179.399,3353001.06,14.5
8467,4823,759961.399,3353000.56,21.5
9765,4809,760610.399,3353007.56,14.5
9874,4789,760664.899,3353017.56,11.5
9809,4789,760632.399,3353017.56,38.5
9522,4784,760488.899,3353020.06,13.0
8954,4782,760204.899,3353021.06,11.5
9545,4781,760500.399,3353021.56,17.0
9855,4780,760655.399,3353022.06,16.5
